Pheromone,Decay,Avg_Time,Avg_Covered,ParetoFront
0.0,0.7000000000000001,89.225,0.1555576876456313,Pareto
0.0,0.6000000000000001,89.593,0.15048044785235715,Dominated
0.0,0.0,89.607,0.1562139308095684,Pareto
0.0,0.8,89.668,0.15811545189675813,Pareto
0.0,0.1,89.709,0.15638057313954606,Dominated
0.0,0.2,89.86,0.1564002944889696,Dominated
0.0,1.0,89.912,0.1560244072245422,Dominated
0.0,0.9,89.946,0.15741081766732173,Dominated
0.0,0.30000000000000004,90.022,0.15929177586265916,Pareto
0.0,0.5,90.245,0.15400384525944832,Dominated
0.0,0.4,90.786,0.15748569922841846,Dominated
0.1,0.30000000000000004,100.094,0.34618098991299845,Pareto
0.1,0.1,100.362,0.351423576693168,Pareto
0.1,0.8,100.389,0.35092731483805034,Dominated
0.1,0.9,100.573,0.35125263425304426,Dominated
0.1,0.7000000000000001,100.741,0.3451430313612773,Dominated
0.1,0.2,100.781,0.34573113509369846,Dominated
0.1,1.0,101.234,0.3561449707441581,Pareto
0.1,0.5,101.476,0.3542836572856812,Dominated
0.1,0.6000000000000001,101.578,0.35749283542114074,Pareto
0.1,0.4,101.952,0.36137871879480415,Pareto
0.1,0.0,102.807,0.35621309313102645,Dominated
0.2,0.7000000000000001,111.865,0.4874170006540726,Pareto
0.2,0.9,112.216,0.4990244455433102,Pareto
0.2,0.6000000000000001,112.476,0.47581420568772476,Dominated
0.2,1.0,112.728,0.4737979213299605,Dominated
0.2,0.4,112.745,0.4885294157542617,Dominated
0.2,0.8,112.837,0.47828469629231696,Dominated
0.2,0.30000000000000004,112.892,0.47158976197876723,Dominated
0.2,0.2,112.996,0.48647318326760125,Dominated
0.2,0.0,113.214,0.4857958937207268,Dominated
0.2,0.1,113.363,0.47980588323924017,Dominated
0.2,0.5,114.425,0.49556171521879894,Dominated
0.30000000000000004,1.0,121.833,0.5741292287168612,Pareto
0.30000000000000004,0.8,122.294,0.5707966052394701,Dominated
0.30000000000000004,0.5,122.406,0.5717772103345755,Dominated
0.30000000000000004,0.9,122.599,0.581688822059218,Pareto
0.30000000000000004,0.4,122.652,0.5798233829879905,Dominated
0.30000000000000004,0.6000000000000001,122.669,0.5785610695775948,Dominated
0.30000000000000004,0.0,123.099,0.5810576927043896,Dominated
0.30000000000000004,0.30000000000000004,123.211,0.5827156639487698,Pareto
0.30000000000000004,0.7000000000000001,123.248,0.5776587185831159,Dominated
0.30000000000000004,0.1,123.256,0.5801472210107463,Dominated
0.30000000000000004,0.2,123.272,0.5775136863591407,Dominated
0.4,0.0,130.976,0.6349157231569673,Pareto
0.4,0.8,131.104,0.634192769927137,Dominated
0.4,0.5,131.441,0.6441860647415463,Pareto
0.4,0.1,131.67,0.6374646452218267,Dominated
0.4,0.4,131.831,0.6487378231627006,Pareto
0.4,0.7000000000000001,132.035,0.6385437873637746,Dominated
0.4,0.2,132.271,0.6395214931449384,Dominated
0.4,0.9,132.685,0.6428721677775645,Dominated
0.4,0.6000000000000001,132.873,0.6422227640430217,Dominated
0.4,0.30000000000000004,132.987,0.6502866349392646,Pareto
0.4,1.0,133.59,0.6425128844418169,Dominated
0.5,0.4,139.587,0.6831561228334705,Pareto
0.5,0.9,139.678,0.6848454136247066,Pareto
0.5,0.6000000000000001,140.222,0.6920940686379111,Pareto
0.5,0.0,140.433,0.6961673709219937,Pareto
0.5,0.5,140.68,0.6860694302956738,Dominated
0.5,0.7000000000000001,140.923,0.6925927126677461,Dominated
0.5,0.8,140.978,0.6817340295654851,Dominated
0.5,0.1,141.039,0.6892171846815841,Dominated
0.5,1.0,141.25,0.6876789799660953,Dominated
0.5,0.30000000000000004,141.268,0.6918203315603974,Dominated
0.5,0.2,141.326,0.6961916976690123,Pareto
0.6000000000000001,0.7000000000000001,146.716,0.7201127385307539,Pareto
0.6000000000000001,0.0,146.884,0.7277817619374568,Pareto
0.6000000000000001,0.5,147.2,0.7192251878723527,Dominated
0.6000000000000001,0.2,147.469,0.7322491345135553,Pareto
0.6000000000000001,0.8,147.699,0.719755298848268,Dominated
0.6000000000000001,1.0,147.905,0.7199465456807433,Dominated
0.6000000000000001,0.4,147.965,0.7230957288437139,Dominated
0.6000000000000001,0.30000000000000004,148.021,0.7186758918350291,Dominated
0.6000000000000001,0.9,148.391,0.7301631310916853,Dominated
0.6000000000000001,0.1,148.74,0.7331069350309214,Pareto
0.6000000000000001,0.6000000000000001,148.797,0.7288965479721434,Dominated
0.7000000000000001,0.5,152.486,0.7578051225514204,Pareto
0.7000000000000001,0.8,152.883,0.7523842082976442,Dominated
0.7000000000000001,0.30000000000000004,153.574,0.76003847846812,Pareto
0.7000000000000001,0.7000000000000001,153.583,0.7519773024555618,Dominated
0.7000000000000001,0.4,154.227,0.7622542163323764,Pareto
0.7000000000000001,0.1,154.691,0.7581582198115538,Dominated
0.7000000000000001,0.0,154.7,0.7584493539528672,Dominated
0.7000000000000001,0.9,154.992,0.7590908008540235,Dominated
0.7000000000000001,1.0,155.213,0.7604410709246365,Dominated
0.7000000000000001,0.2,155.327,0.7568789518191582,Dominated
0.7000000000000001,0.6000000000000001,155.601,0.7595993170249583,Dominated
0.8,0.30000000000000004,157.879,0.7765526639853534,Pareto
0.8,1.0,158.191,0.7755757737289397,Dominated
0.8,0.6000000000000001,158.201,0.7808860663538858,Pareto
0.8,0.5,158.251,0.7797769918868926,Dominated
0.8,0.9,158.357,0.7779066693829968,Dominated
0.8,0.7000000000000001,158.639,0.7652843125041372,Dominated
0.8,0.1,158.956,0.7675203209374774,Dominated
0.8,0.0,159.638,0.7864938183798178,Pareto
0.8,0.2,159.981,0.7851563307709454,Dominated
0.8,0.4,159.986,0.7778367040810099,Dominated
0.8,0.8,160.565,0.7852695710044881,Dominated
0.9,1.0,162.787,0.8047952618077937,Pareto
0.9,0.30000000000000004,162.844,0.7929847455307749,Dominated
0.9,0.9,162.877,0.8001031975687372,Dominated
0.9,0.2,163.364,0.7950766504671233,Dominated
0.9,0.5,163.438,0.804341658512263,Dominated
0.9,0.7000000000000001,163.584,0.7983171877358711,Dominated
0.9,0.6000000000000001,163.651,0.7968991765304736,Dominated
0.9,0.0,163.842,0.798006546361967,Dominated
0.9,0.8,164.216,0.800764292966428,Dominated
0.9,0.1,164.267,0.8007082641858656,Dominated
0.9,0.4,165.177,0.8006396135826344,Dominated
1.0,0.2,167.616,0.8148841339970427,Pareto
1.0,0.0,167.63,0.8010782248659968,Dominated
1.0,0.1,167.637,0.8111371480944488,Dominated
1.0,0.6000000000000001,167.781,0.8182523791005389,Pareto
1.0,0.9,168.049,0.8191349836553982,Pareto
1.0,0.4,168.398,0.8147217841291307,Dominated
1.0,1.0,168.657,0.8221801098361007,Pareto
1.0,0.5,168.674,0.8096284132668381,Dominated
1.0,0.8,168.832,0.8198754763745141,Dominated
1.0,0.30000000000000004,168.893,0.8178315800399564,Dominated
1.0,0.7000000000000001,169.802,0.8133515337146552,Dominated
